,Featue,MeanSquared,Explained Variance,Feature
0,,13.163844363095498,-54.61724243407849,Year
1,,0.1735544561373479,0.8616476269471142,Interception
2,,0.13113336233657963,0.0,Pass 2PT
3,,0.027430348386510237,0.6136892602233143,Rush TD
4,,49.0486867599783,0.1732268040657956,Pass Attempts
5,,0.0,1.0,Receiving 2PT
6,,35.177508023462174,0.5552813542814852,Points_x
7,,0.0,1.0,Receiving TD
8,,0.190150753276471,-0.46070351380561814,Touchdowns
9,,75.28538472179797,-10.824563213739644,Week
10,,1818.833102920016,0.4029547152639992,Pass Yards
11,,0.12675321243975557,0.8949936622435358,Pass Interceptions
12,,13.681934971595833,-10.918799021647917,Sack
13,,886.528578025008,0.9065164196707829,Total Yards
14,,0.1897576763744812,-0.0689682435762442,Blocks
15,,0.4642688818901343,-0.15384472116812775,Fumble Returns
16,,0.00041649312786339016,0.0,Receptions
17,,0.4660411944380431,-2.5800437209104228,Fumbles Lost
18,,11.300889971107399,0.7009316622115329,Points_y
19,,8.377952793897718,-3.7512551079487064,Rush Attempts
20,,0.6721816589338643,0.5419407243555521,Pass TD
21,,0.02040816326530612,0.0,Receiving Yards
22,,3005.7327108952013,0.3974915748718535,Pass Yards Allowed
23,,28.09404310037707,0.8159445928064922,Point After
24,,16.313853788090718,0.4377974530613109,Pass Completions
25,,1361.7646499144284,0.7125385019066757,Rush Yards Allowed
26,,0.047365862520539856,0.0,Safety
27,,0.0,1.0,Rush 2PT
28,,20.522471633199608,-0.8890510381322081,Rush Yards
29,,0.0,1.0,Fumble TD
